tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
1319,2017-07-10T18:47:03,2017-07-10T19:09:02,492,W 33 St & 7 Ave,4.075.019.995,-7.399.093.085,3173,Riverside Blvd & W 67 St,40.777.507.027.547.900,-7.398.888.587.951.650,16907,Subscriber,1999,female,
822,2018-04-12T12:12:39.605000,2018-04-12T12:26:22.575000,3132,E 59 St & Madison Ave,4.076.350.532,-7.397.109.243,3284,E 88 St & Park Ave,40.781.410.700.190.000,-7.395.595.908.164.970,31516,Subscriber,1947,male,
445,2015-12-31T17:17:23,2015-12-31T17:24:48,483,E 12 St & 3 Ave,4.073.223.272,-7.398.889.957,433,E 13 St & Avenue A,4.072.955.361,-7.398.057.249,19567,Subscriber,1949,male,
609,2015-07-24T08:01:59,2015-07-24T08:12:08,497,E 17 St & Broadway,4.073.704.984,-7.399.009.296,512,W 29 St & 9 Ave,407.500.727,-7.399.839.279,22919,Subscriber,1950,male,
459,2014-08-20T18:53:21,2014-08-20T19:01:00,492,W 33 St & 7 Ave,4.075.019.995,-7.399.093.085,537,Lexington Ave & E 24 St,4.074.025.878,-7.398.409.214,18594,Subscriber,1952,male,
413,2014-11-01T11:39:55,2014-11-01T11:46:48,377,6 Ave & Canal St,4.072.243.797,-7.400.566.443,161,LaGuardia Pl & W 3 St,4.072.917.025,-7.399.810.231,20506,Subscriber,1942,male,
214,2015-11-05T13:27:11,2015-11-05T13:30:46,3158,W 63 St & Broadway,4.077.163.851,-7.398.261.428,457,Broadway & W 58 St,4.076.695.317,-7.398.169.333,17396,Subscriber,1942,male,
978,2015-10-07T14:25:20,2015-10-07T14:41:38,3170,W 84 St & Columbus Ave,4.078.499.979,-7.397.283.406,3156,E 72 St & York Ave,4.076.663.814,-7.395.348.296,23133,Subscriber,1997,male,
657,2017-09-19T19:19:51,2017-09-19T19:30:49,336,Sullivan St & Washington Sq,4.073.047.747,-7.399.906.065,504,1 Ave & E 16 St,4.073.221.853,-7.398.165.557,17271,Subscriber,1997,female,
277,2017-07-21T13:46:08,2017-07-21T13:50:45,483,E 12 St & 3 Ave,4.073.223.272,-7.398.889.957,335,Washington Pl & Broadway,4.072.903.917,-7.399.404.649,28136,Subscriber,2000,female,
953,2017-12-09T05:28:13,2017-12-09T05:44:06,128,MacDougal St & Prince St,4.072.710.258,-7.400.297.088,533,Broadway & W 38 St,4.075.299.641,-7.398.721.619,20591,Subscriber,1948,male,
876,2015-02-19T09:00:00,2015-02-19T09:15:00,2010,Grand St & Greene St,4.072.165.481,-7.400.234.737,401,Allen St & Rivington St,4.072.019.576,-7.398.997.825,15374,Subscriber,1948,male,
690,2017-11-19T08:01:43,2017-11-19T08:13:14,3151,E 81 St & York Ave,407.728.384,-7.394.989.233,3378,E 76 St & Park Ave,40.773.763,-7.396.222.088,32098,Subscriber,1947,male,
1573,2014-07-21T20:44:51,2014-07-21T21:11:04,355,Bayard St & Baxter St,4.071.602.118,-7.399.974.372,462,W 22 St & 10 Ave,4.074.691.959,-7.400.451.887,16996,Subscriber,1950,male,
610,2017-08-11T16:06:22,2017-08-11T16:16:32,3435,Grand St & Elizabeth St,40.718.822,-7.399.596,3427,Lafayette St & Jersey St,4.072.430.527.250.330,-7.399.600.982.666.010,16391,Customer,1999,male,
1019,2015-06-19T09:01:00,2015-06-19T09:18:00,478,11 Ave & W 41 St,4.076.030.096,-7.399.884.222,454,E 51 St & 1 Ave,4.075.455.731,-7.396.592.976,18192,Subscriber,1952,male,
381,2013-11-18T06:59:33,2013-11-18T07:05:54,469,Broadway & W 53 St,4.076.344.058,-7.398.268.129,137,E 56 St & Madison Ave,40.761.628,-73.972.924,17526,Subscriber,1951,male,
549,2015-08-06T15:25:20,2015-08-06T15:34:29,546,E 30 St & Park Ave S,4.074.444.921,-7.398.303.529,494,W 26 St & 8 Ave,4.074.734.825,-7.399.723.551,15566,Subscriber,1997,female,
726,2018-04-20T16:22:49.706000,2018-04-20T16:34:56.561000,540,Lexington Ave & E 29 St,4.074.311.555.376.480,-7.398.215.353.488.920,448,W 37 St & 10 Ave,4.075.660.359,-739.979.009,27999,Subscriber,1999,male,
1987,2017-05-17T13:28:59,2017-05-17T14:02:06,466,W 25 St & 6 Ave,4.074.395.411,-7.399.144.871,3169,Riverside Dr & W 82 St,4.078.720.869,-7.398.128.127,21243,Subscriber,1944,male,
271,2016-03-21T15:37:22,2016-03-21T15:41:54,463,9 Ave & W 16 St,4.074.206.539,-7.400.443.172,247,Perry St & Bleecker St,4.073.535.398,-7.400.483.091,22404,Subscriber,1941,male,
588,2017-12-06T22:19:30,2017-12-06T22:29:18,490,8 Ave & W 33 St,40.751.551,-73.993.934,537,Lexington Ave & E 24 St,4.074.025.878,-7.398.409.214,30510,Subscriber,1998,female,
743,2015-10-19T11:00:21,2015-10-19T11:12:44,379,W 31 St & 7 Ave,40.749.156,-739.916,537,Lexington Ave & E 24 St,4.074.025.878,-7.398.409.214,23362,Subscriber,1996,male,
684,2014-06-19T22:43:33,2014-06-19T22:54:57,410,Suffolk St & Stanton St,4.072.066.442,-7.398.517.977,356,Bialystoker Pl & Delancey St,4.071.622.644,-7.398.261.206,15831,Subscriber,1997,male,
